ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-10-17,585.0178512837838,531.8292944755474,622.0231835709384,585.0178512837838,585.0178512837838,-9.276227400058708,-9.276227400058708,-9.276227400058708,-9.276227400058708,-9.276227400058708,-9.276227400058708,0.0,0.0,0.0,575.7416238837251
2019-10-18,585.1719866891892,532.4086324265251,619.9687631728536,585.1719866891892,585.1719866891892,-9.39409893075809,-9.39409893075809,-9.39409893075809,-9.39409893075809,-9.39409893075809,-9.39409893075809,0.0,0.0,0.0,575.7778877584311
2019-10-21,585.6343929054054,530.5469717391733,618.7509344294804,585.6343929054054,585.6343929054054,-9.221470808253091,-9.221470808253091,-9.221470808253091,-9.221470808253091,-9.221470808253091,-9.221470808253091,0.0,0.0,0.0,576.4129220971523
2019-10-22,585.7885283108109,530.8541565307208,619.154441015715,585.7885283108109,585.7885283108109,-10.175177444036624,-10.175177444036624,-10.175177444036624,-10.175177444036624,-10.175177444036624,-10.175177444036624,0.0,0.0,0.0,575.6133508667742
2019-10-23,585.9426637162162,532.9272977312733,620.2996850853374,585.9426637162162,585.9426637162162,-9.413089131841087,-9.413089131841087,-9.413089131841087,-9.413089131841087,-9.413089131841087,-9.413089131841087,0.0,0.0,0.0,576.5295745843752
2019-10-24,586.0967991216216,532.0039956655469,621.3659967531908,586.0967991216216,586.0967991216216,-9.276227400061135,-9.276227400061135,-9.276227400061135,-9.276227400061135,-9.276227400061135,-9.276227400061135,0.0,0.0,0.0,576.8205717215606
2019-10-25,586.2509345270271,529.3062564448713,618.5965950913844,586.2509345270271,586.2509345270271,-9.394098930820762,-9.394098930820762,-9.394098930820762,-9.394098930820762,-9.394098930820762,-9.394098930820762,0.0,0.0,0.0,576.8568355962063
2019-10-28,586.7133407432433,530.4175923185732,617.016349451059,586.7133407432433,586.7133407432433,-9.221470808230935,-9.221470808230935,-9.221470808230935,-9.221470808230935,-9.221470808230935,-9.221470808230935,0.0,0.0,0.0,577.4918699350123
2019-10-29,586.8674761486486,532.0615451464276,622.6551010769597,586.8674761486486,586.8674761486486,-10.175177444135832,-10.175177444135832,-10.175177444135832,-10.175177444135832,-10.175177444135832,-10.175177444135832,0.0,0.0,0.0,576.6922987045128
2019-10-30,587.0216115540542,531.6225012805472,622.8217815323061,587.0216115540542,587.0216115540542,-9.413089131806124,-9.413089131806124,-9.413089131806124,-9.413089131806124,-9.413089131806124,-9.413089131806124,0.0,0.0,0.0,577.608522422248
2019-10-31,587.1757469594595,534.3575997542916,619.2547378761577,587.1757469594595,587.1757469594595,-9.27622739999179,-9.27622739999179,-9.27622739999179,-9.27622739999179,-9.27622739999179,-9.27622739999179,0.0,0.0,0.0,577.8995195594678
2019-11-01,587.3298823648648,535.8250305881604,619.8628034505365,587.3298823648648,587.3298823648648,-9.394098930796165,-9.394098930796165,-9.394098930796165,-9.394098930796165,-9.394098930796165,-9.394098930796165,0.0,0.0,0.0,577.9357834340686
2019-11-04,595.2771827252252,541.9271950100215,628.7834288803801,595.2771827252252,595.2771827252252,-9.221470808252413,-9.221470808252413,-9.221470808252413,-9.221470808252413,-9.221470808252413,-9.221470808252413,0.0,0.0,0.0,586.0557119169728
2019-11-05,597.9262828453453,545.0530114931149,634.335862395455,597.9262828453453,597.9262828453453,-10.175177444073443,-10.175177444073443,-10.175177444073443,-10.175177444073443,-10.175177444073443,-10.175177444073443,0.0,0.0,0.0,587.7511054012718
2019-11-06,600.5753829654655,547.3648206568906,635.391234094044,600.5753829654655,600.5753829654655,-9.413089131771164,-9.413089131771164,-9.413089131771164,-9.413089131771164,-9.413089131771164,-9.413089131771164,0.0,0.0,0.0,591.1622938336943
2019-11-07,603.2244830855856,552.6915058021772,638.5956666761232,603.2244830855856,603.2244830855856,-9.276227400099982,-9.276227400099982,-9.276227400099982,-9.276227400099982,-9.276227400099982,-9.276227400099982,0.0,0.0,0.0,593.9482556854856
2019-11-08,605.8735832057057,551.5519562449578,641.2096304626024,605.8735832057057,605.8735832057057,-9.394098930871866,-9.394098930871866,-9.394098930871866,-9.394098930871866,-9.394098930871866,-9.394098930871866,0.0,0.0,0.0,596.4794842748338
2019-11-11,613.8208835660661,559.2851400539644,648.1566220851582,613.8208835660661,613.8208835660661,-9.221470808273885,-9.221470808273885,-9.221470808273885,-9.221470808273885,-9.221470808273885,-9.221470808273885,0.0,0.0,0.0,604.5994127577922
2019-11-12,616.4699836861861,564.2873027476816,648.7099369615516,616.4699836861861,616.4699836861861,-10.17517744409146,-10.17517744409146,-10.17517744409146,-10.17517744409146,-10.17517744409146,-10.17517744409146,0.0,0.0,0.0,606.2948062420946
2019-11-13,619.1190838063064,568.3445346131783,655.0815795427279,619.1190838063064,619.1190838063064,-9.413089131839513,-9.413089131839513,-9.413089131839513,-9.413089131839513,-9.413089131839513,-9.413089131839513,0.0,0.0,0.0,609.7059946744669
2019-11-14,621.7681839264263,568.208424448577,659.8152481330098,621.7681839264263,621.7681839264263,-9.276227399996642,-9.276227399996642,-9.276227399996642,-9.276227399996642,-9.276227399996642,-9.276227399996642,0.0,0.0,0.0,612.4919565264297
2019-11-15,624.4172840465466,571.6582590627461,655.5581226077351,624.4172840465466,624.4172840465466,-9.394098930847269,-9.394098930847269,-9.394098930847269,-9.394098930847269,-9.394098930847269,-9.394098930847269,0.0,0.0,0.0,615.0231851156993
